Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-21T13:03:09,62662,2144,11881
Guangdong,Mainland China,2020-02-21T10:13:09,1333,5,690
Henan,Mainland China,2020-02-21T13:43:02,1267,19,736
Zhejiang,Mainland China,2020-02-21T10:23:02,1203,1,679
Hunan,Mainland China,2020-02-21T15:13:07,1011,4,661
Anhui,Mainland China,2020-02-21T10:13:09,988,6,539
Jiangxi,Mainland China,2020-02-21T01:13:05,934,1,489
Shandong,Mainland China,2020-02-21T10:23:02,749,4,281
Jiangsu,Mainland China,2020-02-21T11:43:01,631,0,373
Chongqing,Mainland China,2020-02-21T23:13:14,572,6,316
Sichuan,Mainland China,2020-02-21T12:53:01,525,3,231
Heilongjiang,Mainland China,2020-02-21T11:43:01,479,12,175
Beijing,Mainland China,2020-02-21T01:03:09,396,4,169
Shanghai,Mainland China,2020-02-21T05:53:01,334,2,211
Hebei,Mainland China,2020-02-21T12:53:01,308,5,184
Fujian,Mainland China,2020-02-21T11:43:01,293,1,149
Guangxi,Mainland China,2020-02-21T11:43:01,246,2,97
Shaanxi,Mainland China,2020-02-21T11:43:01,245,1,134
,South Korea,2020-02-21T13:43:02,204,2,16
Yunnan,Mainland China,2020-02-21T06:23:04,174,2,96
Hainan,Mainland China,2020-02-21T10:13:09,168,4,95
Guizhou,Mainland China,2020-02-21T12:53:01,146,2,77
Shanxi,Mainland China,2020-02-21T23:33:06,132,0,78
Tianjin,Mainland China,2020-02-21T12:53:01,132,3,62
Liaoning,Mainland China,2020-02-21T01:33:02,121,1,61
Gansu,Mainland China,2020-02-21T15:13:07,91,2,76
Xinjiang,Mainland China,2020-02-21T13:43:02,76,1,24
Inner Mongolia,Mainland China,2020-02-21T08:03:15,75,0,17
Ningxia,Mainland China,2020-02-21T06:23:04,71,0,48
Hong Kong,Hong Kong,2020-02-21T03:43:02,68,2,5
Taiwan,Taiwan,2020-02-21T06:53:03,26,1,2
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Macau,Macau,2020-02-20T02:13:19,10,0,6
OtherProvince,China,2020-02-20T02:13:19,13026,96,6795
,ForeignCountry,2020-02-21T19:03:06,1155,11,214
Hubei,Mainland China,02-21,56249,0,5623
OtherProvince,China,02-21,12466,0,3676
/,ForeignCountry,02-21,317,0,96
Hubei,Mainland China,02-21,31728,0,2222
OtherProvince,China,02-21,10778,0,1697
/,ForeignCountry,02-21,257,0,27
Hubei,Mainland China,02-21,31728,0,2222
OtherProvince,China,02-21,10778,0,1697
/,ForeignCountry,02-21,257,0,27
Hubei,Mainland China,02-21,62442,0,11788
OtherProvince,China,02-21,12658,0,6227
/,ForeignCountry,02-21,1099,0,162
Hubei,Mainland China,02-21,62442,0,11788
OtherProvince,China,02-21,12658,0,6227
/,ForeignCountry,02-21,1099,0,162
Hubei,Mainland China,02-21,62442,0,11788
OtherProvince,China,02-21,12658,0,6227
/,ForeignCountry,02-21,1099,0,162
Hubei,Mainland China,02-21,62450,0,11788
OtherProvince,China,02-21,12666,0,6227
/,ForeignCountry,02-21,1107,0,162
Hubei,Mainland China,02-21,62450,0,11788
OtherProvince,China,02-21,12666,0,6227
/,ForeignCountry,02-21,1107,0,162
Hubei,Mainland China,02-21,58175,0,6639
OtherProvince,China,02-21,12698,0,4117
/,ForeignCountry,02-21,332,0,109
Hubei,Mainland China,02-21,58175,0,6639
OtherProvince,China,02-21,12698,0,4117
/,ForeignCountry,02-21,332,0,109
